id,city,avg_price_$,median_price_$,max_price_$,min_price_$,listings_count,latitude,longitude,created_at
1,Akkar,350000,350000,350000,350000,1,34.5394,36.078,2025-03-08 11:12:28.679439+00
2,Aley,582531,192499,11000000,67000,64,33.8056,35.5978,2025-03-08 11:12:28.895115+00
3,Baabda,689538,499999,9000000,52000,607,33.8333,35.5442,2025-03-08 11:12:29.004403+00
4,Batroun,628490,225000,31000000,54999,202,34.2556,35.6586,2025-03-08 11:12:29.100892+00
5,Beirut,1005602,650000,25500000,70000,1567,33.8886,35.4955,2025-03-08 11:12:29.197207+00
6,Chouf,312328,275000,666300,60000,7,33.6947,35.5792,2025-03-08 11:12:29.338572+00
7,El Metn,583411,345000,15000000,600,2897,33.9006,35.6178,2025-03-08 11:12:29.491475+00
8,Hasbaya,69500,69500,69500,69500,1,33.3979,35.6852,2025-03-08 11:12:29.588176+00
9,Jbeil,468181,195000,16000000,26000,931,34.1236,35.6455,2025-03-08 11:12:29.734054+00
10,Kesrouane,584452,290000,18000000,500,1405,33.9808,35.6856,2025-03-08 11:12:29.836065+00
11,Koura,267399,112500,2200000,83000,40,34.3294,35.7931,2025-03-08 11:12:29.929143+00
12,Zahle,1050000,430000,2500000,220000,3,33.8461,35.9042,2025-03-08 11:12:30.042442+00
13,Zgharta,990000,990000,990000,990000,1,34.3314,35.8958,2025-03-08 11:12:30.201649+00