id,created_at,district,avg_price_$,median_price_$,min_price_$,max_price_$,listings_count
1,2025-02-07 16:59:07.993337+00,Aabdelle,200000,200000,200000,200000,1
2,2025-02-07 16:59:08.123561+00,Aabeidat,319285,250000,120000,800000,7
3,2025-02-07 16:59:08.28521+00,Aabrine,240000,265000,80000,350000,4
4,2025-02-07 16:59:08.458719+00,Aalmat El Janoubiyeh,40000,40000,40000,40000,1
5,2025-02-07 16:59:08.615829+00,Aamchit,509726,182500,55000,4435000,84
6,2025-02-07 16:59:08.719546+00,Aannaya,360714,170000,65000,1300000,21
7,2025-02-07 16:59:08.835242+00,Aaoukar,327449,223499,85000,1200000,20
8,2025-02-07 16:59:08.950931+00,Aaraiya,337499,337499,285000,389999,2
9,2025-02-07 16:59:09.072792+00,Aatchane,511285,226250,109999,1800000,14
10,2025-02-07 16:59:09.1753+00,Aayoun El Siman,2499999,2499999,2499999,2499999,1
11,2025-02-07 16:59:09.280851+00,Aayroun,900000,900000,900000,900000,1
12,2025-02-07 16:59:09.493496+00,Abediyeh,837500,837500,175000,1500000,2
13,2025-02-07 16:59:09.609118+00,Abou Samra,86666,85000,75000,100000,3
14,2025-02-07 16:59:09.711383+00,Achkout,247777,200000,100000,500000,9
15,2025-02-07 16:59:09.81343+00,Achrafieh,850137,570000,100000,25500000,918
16,2025-02-07 16:59:09.918089+00,Adlieh,363749,363749,227499,500000,2
17,2025-02-07 16:59:10.039415+00,Adma,925811,550000,600,15000000,95
18,2025-02-07 16:59:10.149967+00,Adonis,287604,150000,54999,3000000,24
19,2025-02-07 16:59:10.254795+00,Aicha Bakkar,329000,310000,310000,390000,5
20,2025-02-07 16:59:10.351984+00,Ain Aalaq,236111,215000,124999,370000,9
21,2025-02-07 16:59:10.46494+00,Ain Aar,597956,370000,150000,2800000,46
22,2025-02-07 16:59:10.561229+00,Ain Al Remmane,281000,295000,150000,475000,5
23,2025-02-07 16:59:10.699706+00,Ain Alak,1314666,1200000,1144000,1600000,3
24,2025-02-07 16:59:10.793185+00,Ain Anoub,171400,185000,67000,250000,5
25,2025-02-07 16:59:10.890871+00,Ain El Remmaneh (Baabda),189272,163499,52000,374999,22
26,2025-02-07 16:59:10.992796+00,Ain El Rihani,338000,350000,130000,460000,5
27,2025-02-07 16:59:11.115672+00,Ain El Rihany,205000,220000,135000,260000,3
28,2025-02-07 16:59:11.217737+00,Ain El Rimmaneh,250000,250000,250000,250000,1
29,2025-02-07 16:59:11.326808+00,Ain Jrein,180000,180000,180000,180000,1
30,2025-02-07 16:59:11.433828+00,Ain Kfaa,128333,160000,45000,180000,3
31,2025-02-07 16:59:11.563758+00,Ain Najem,900600,900600,350000,1451200,2
32,2025-02-07 16:59:11.667797+00,Ain Najm,398124,309999,280000,900000,8
33,2025-02-07 16:59:11.791035+00,Ain Saadeh,681396,400000,173000,5500000,86
34,2025-02-07 16:59:11.895577+00,Ain al-Mraiseh,1100766,662500,338000,4900000,30
35,2025-02-07 16:59:12.006466+00,Ain el Marj,1900000,1900000,1900000,1900000,1
36,2025-02-07 16:59:12.109203+00,Aintoura,229999,229999,109999,350000,2
37,2025-02-07 16:59:12.220233+00,Airport area,666250,666250,666250,666250,1
38,2025-02-07 16:59:12.325801+00,Aitat,920000,445000,290000,2500000,4
39,2025-02-07 16:59:12.423607+00,Ajaltoun,529086,250000,99999,2800000,58
40,2025-02-07 16:59:12.532087+00,Al Jamhour,457142,430000,295000,650000,7
41,2025-02-07 16:59:12.639072+00,Al Mina,107500,107500,95000,120000,2
42,2025-02-07 16:59:12.762929+00,Al Nakhle,104666,105000,85000,155000,15
43,2025-02-07 16:59:12.876845+00,Al Qalamoun,350000,350000,350000,350000,1
44,2025-02-07 16:59:12.97648+00,Al Zarif,221666,175000,140000,350000,3
45,2025-02-07 16:59:13.0759+00,Aleleh,375000,375000,375000,375000,1
46,2025-02-07 16:59:13.162956+00,Aley,225000,137500,125000,500000,4
47,2025-02-07 16:59:13.263975+00,Amaret Chalhoub,2200000,2200000,2200000,2200000,1
48,2025-02-07 16:59:13.386251+00,Anfe,730000,600000,190000,1400000,3
49,2025-02-07 16:59:13.4985+00,Antelias,553249,249999,65000,5500000,68
50,2025-02-07 16:59:13.597831+00,Aoukar,606538,400000,80000,1250000,13
51,2025-02-07 16:59:13.698161+00,Aramoun,125000,125000,125000,125000,1
52,2025-02-07 16:59:13.816631+00,Arayia,1450000,1250000,700000,2400000,3
53,2025-02-07 16:59:13.912871+00,Arsoun,650000,650000,650000,650000,1
54,2025-02-07 16:59:14.021146+00,Ashkout,324999,324999,149999,499999,2
55,2025-02-07 16:59:14.129479+00,Assia,330000,330000,330000,330000,1
56,2025-02-07 16:59:14.249355+00,Ayroun,342500,342500,342500,342500,1
57,2025-02-07 16:59:14.345271+00,Azmi,100000,100000,75000,125000,2
58,2025-02-07 16:59:14.458081+00,Azra,367000,440000,145000,500000,5
59,2025-02-07 16:59:14.572585+00,Baabda,646327,550000,145000,4700000,110
60,2025-02-07 16:59:14.670615+00,Baabdat,554482,407500,600,2000000,112
61,2025-02-07 16:59:14.772977+00,Baatouta,767000,767000,767000,767000,1
62,2025-02-07 16:59:14.878881+00,Badaro,660794,600000,190000,1800000,39
63,2025-02-07 16:59:15.000354+00,Bakich,170625,186250,120000,190000,4
64,2025-02-07 16:59:15.126059+00,Ballouneh,357811,255000,62999,3750000,106
65,2025-02-07 16:59:15.224778+00,Baouchriyeh,174374,155000,130000,260000,8
66,2025-02-07 16:59:15.326219+00,Barbara,2372555,750000,68000,16000000,9
67,2025-02-07 16:59:15.433458+00,Barghoun,2200000,2200000,2200000,2200000,1
68,2025-02-07 16:59:15.526852+00,Basbina,188093,150000,120000,400000,16
69,2025-02-07 16:59:15.626077+00,Baskinta,155999,155999,135000,176999,2
70,2025-02-07 16:59:15.737702+00,Batha,1210000,1210000,420000,2000000,2
71,2025-02-07 16:59:15.846074+00,Batroun,602954,200000,54999,31000000,122
72,2025-02-07 16:59:15.944919+00,Bchamoun,125000,110000,90000,180000,5
73,2025-02-07 16:59:16.156104+00,Bcheale,1000000,1000000,1000000,1000000,1
74,2025-02-07 16:59:16.257907+00,Bchelli,200499,118499,65000,500000,4
75,2025-02-07 16:59:16.374322+00,Bechmizzine,550000,550000,550000,550000,1
76,2025-02-07 16:59:16.474739+00,Bechtelida,3550000,3550000,3550000,3550000,1
77,2025-02-07 16:59:16.577605+00,Beit Chabeb,642500,410000,105000,2200000,10
78,2025-02-07 16:59:16.672962+00,Beit Chlala,2000000,2000000,2000000,2000000,1
79,2025-02-07 16:59:16.775013+00,Beit El Kikko,441124,350000,129000,1070000,8
80,2025-02-07 16:59:16.878814+00,Beit Hebak,175000,175000,150000,200000,2
81,2025-02-07 16:59:17.016047+00,Beit Meri,592711,349999,144999,4300000,64
82,2025-02-07 16:59:17.143156+00,Beit Misk,800625,432500,390000,2000000,8
83,2025-02-07 16:59:17.238321+00,Beit el Chaar,511763,357500,110000,3120000,38
84,2025-02-07 16:59:17.332954+00,Bejje,373000,400000,119000,600000,3
85,2025-02-07 16:59:17.43437+00,Bejjeh,210000,210000,210000,210000,1
86,2025-02-07 16:59:17.537645+00,Bekaatat Achkout,196999,164999,76999,449999,6
87,2025-02-07 16:59:17.638067+00,Bekhaaz,200000,200000,200000,200000,1
88,2025-02-07 16:59:17.75267+00,Bentaael,638142,611000,170000,2000000,7
89,2025-02-07 16:59:17.863058+00,Bentael,426000,159000,119000,1000000,3
90,2025-02-07 16:59:17.961333+00,Berbara,1540291,795875,300000,5900000,6
91,2025-02-07 16:59:18.11512+00,Betchay,380000,380000,380000,380000,1
92,2025-02-07 16:59:18.216044+00,Bhamdoun,499000,499000,499000,499000,1
93,2025-02-07 16:59:18.311745+00,Bhamdoun Al Mhatta,3999999,3999999,3999999,3999999,1
94,2025-02-07 16:59:18.414752+00,Bharsaf,416562,299999,150000,850000,16
95,2025-02-07 16:59:18.52008+00,Bhorsaf,707000,300000,135000,2500000,5
96,2025-02-07 16:59:18.630917+00,Biakout,122500,122500,115000,130000,2
97,2025-02-07 16:59:18.833027+00,Biaqout,367499,247499,105000,2500000,26
98,2025-02-07 16:59:18.946617+00,Bijdarfel,191666,195000,60000,320000,3
99,2025-02-07 16:59:19.059777+00,Bikfaiya,606999,309999,130000,3000000,12
100,2025-02-07 16:59:19.192959+00,Bikfaya,1528709,904800,680000,6000000,11
101,2025-02-07 16:59:19.321671+00,Bir Hasan,500000,500000,500000,500000,1
102,2025-02-07 16:59:19.419408+00,Bir Hassan,572500,482500,450000,875000,4
103,2025-02-07 16:59:19.530491+00,Biyada,810909,800000,390000,1200000,11
104,2025-02-07 16:59:19.647038+00,Bkerke,500000,500000,500000,500000,1
105,2025-02-07 16:59:19.764395+00,Blat,329347,182500,65000,3000000,92
106,2025-02-07 16:59:19.867799+00,Blaybel,144999,142499,99999,199999,6
107,2025-02-07 16:59:19.970114+00,Bliss,2200000,2200000,2200000,2200000,1
108,2025-02-07 16:59:20.063915+00,Bnichaai,990000,990000,990000,990000,1
109,2025-02-07 16:59:20.183526+00,Bolonia,328333,150000,85000,750000,3
110,2025-02-07 16:59:20.280743+00,Bouar,238849,150000,115000,900000,20
111,2025-02-07 16:59:20.392816+00,Bouchrieh,1359444,265000,65000,15000000,18
112,2025-02-07 16:59:20.492165+00,Boulevard,200000,200000,200000,200000,1
113,2025-02-07 16:59:20.588194+00,Bourj Hammoud,435000,435000,120000,750000,2
114,2025-02-07 16:59:20.719898+00,Boutchay,204821,190000,134999,359999,28
115,2025-02-07 16:59:20.842182+00,Bqaatouta,260000,260000,260000,260000,1
116,2025-02-07 16:59:20.943063+00,Bqennaya,303333,385000,135000,419999,9
117,2025-02-07 16:59:21.044658+00,Bqosmaiya,850000,850000,850000,850000,1
118,2025-02-07 16:59:21.14833+00,Braij,410000,130000,100000,3000000,20
119,2025-02-07 16:59:21.250881+00,Brazilia,844000,760000,550000,1170000,5
120,2025-02-07 16:59:21.35398+00,Broumana,502708,430000,170000,1400000,24
121,2025-02-07 16:59:21.456019+00,Broummana,423215,350000,134999,2100000,65
122,2025-02-07 16:59:21.553836+00,Bsaba (Baabda),137142,134999,80000,200000,7
123,2025-02-07 16:59:21.656281+00,Bsalim,386931,305000,104000,5000000,154
124,2025-02-07 16:59:21.760144+00,Bsefrine,145250,144750,141500,150000,4
125,2025-02-07 16:59:21.859691+00,Bsous,329165,227499,89999,960000,6
126,2025-02-07 16:59:21.968798+00,Bteghrine,300000,300000,300000,300000,1
127,2025-02-07 16:59:22.064834+00,Btouratij,107857,108000,92000,125000,7
128,2025-02-07 16:59:22.16873+00,Burj Abi Haidar,380000,220000,160000,1100000,5
129,2025-02-07 16:59:22.275537+00,Bzebdine,126400,126400,126400,126400,1
130,2025-02-07 16:59:22.375798+00,Chabtine,100000,100000,100000,100000,2
131,2025-02-07 16:59:22.478599+00,Chahtoul,766666,825000,275000,1200000,3
132,2025-02-07 16:59:22.583459+00,Chamat,230000,230000,230000,230000,1
133,2025-02-07 16:59:22.68168+00,Charles Malek,646000,650000,460000,850000,5
134,2025-02-07 16:59:22.779879+00,Chekka,663000,490000,125000,1300000,5
135,2025-02-07 16:59:22.930642+00,Chemlan,435333,257000,149000,900000,3
136,2025-02-07 16:59:23.047006+00,Chikhane,612500,190000,130000,3250000,8
137,2025-02-07 16:59:23.180568+00,Chiyah,1200000,1200000,1200000,1200000,1
138,2025-02-07 16:59:23.318427+00,Chnaneir,1174999,1174999,349999,2000000,2
139,2025-02-07 16:59:23.537377+00,Choueifat,976333,120000,109000,2700000,3
140,2025-02-07 16:59:23.637319+00,Chouf,60000,60000,60000,60000,1
141,2025-02-07 16:59:23.759937+00,Chouit,184999,184999,184999,184999,1
142,2025-02-07 16:59:23.877511+00,Chwaya,435000,435000,370000,500000,2
143,2025-02-07 16:59:23.992029+00,Clemenceau,1115769,875000,450000,3200000,13
144,2025-02-07 16:59:24.107269+00,Cola,250000,250000,250000,250000,1
145,2025-02-07 16:59:24.204122+00,Dahr El Sawan,701333,530000,230000,1344000,3
146,2025-02-07 16:59:24.297072+00,Dahr El Souane,589374,450000,220000,3500000,24
147,2025-02-07 16:59:24.398843+00,Dam Wa Farz,278571,200000,125000,760000,21
148,2025-02-07 16:59:24.514652+00,Daroun Harissa,192500,192500,135000,250000,2
149,2025-02-07 16:59:24.62757+00,Dawhet Aramoun,190857,160000,154000,297000,7
150,2025-02-07 16:59:24.735179+00,Dawhet El Hoss,283333,285000,250000,315000,3
151,2025-02-07 16:59:24.829062+00,Daychounieh,268750,272500,180000,350000,4
152,2025-02-07 16:59:24.930072+00,Dbayeh,816470,499999,120000,9000000,167
153,2025-02-07 16:59:25.027882+00,Dbayeh Waterfront,1050000,1050000,700000,1400000,2
154,2025-02-07 16:59:25.145467+00,Deir Al Qamar,370260,330000,230000,666300,5
155,2025-02-07 16:59:25.254718+00,Deir El Ahmar,430000,430000,430000,430000,1
156,2025-02-07 16:59:25.354568+00,Deir Qoubel,237000,140000,90000,600000,5
157,2025-02-07 16:59:25.464169+00,Dekwaneh,213823,162500,100000,500000,34
158,2025-02-07 16:59:25.569067+00,Dekweneh,1425647,420000,130000,13700000,17
159,2025-02-07 16:59:25.673736+00,Dhour Choueir,426666,450000,180000,580000,6
160,2025-02-07 16:59:25.786866+00,Dibbiyeh,275000,275000,275000,275000,1
161,2025-02-07 16:59:25.894291+00,Dik El Mehdi,411153,290000,105000,3600000,52
162,2025-02-07 16:59:25.999573+00,Dlebta,513000,550000,105000,1100000,5
163,2025-02-07 16:59:26.19317+00,Dora,689000,530000,135000,1200000,5
164,2025-02-07 16:59:26.287191+00,Douar,175846,121000,100000,648000,26
165,2025-02-07 16:59:26.383955+00,Down Town,2352333,1850000,400000,8000000,93
166,2025-02-07 16:59:26.51368+00,Edde,275642,192500,100000,1500000,28
167,2025-02-07 16:59:26.625054+00,Ehmej,218272,250000,26000,375000,11
168,2025-02-07 16:59:26.724752+00,Ehmez,90000,90000,90000,90000,1
169,2025-02-07 16:59:26.824684+00,El Biyada,694016,650000,250000,3600000,119
170,2025-02-07 16:59:26.928185+00,Elissar,508400,385000,155000,3000000,20
171,2025-02-07 16:59:27.057917+00,Faitroun,825833,609999,114999,2500000,6
172,2025-02-07 16:59:27.158191+00,Faiyadiyeh,870000,870000,340000,1400000,2
173,2025-02-07 16:59:27.258051+00,Fakra,863452,375000,85000,5000000,21
174,2025-02-07 16:59:27.368966+00,Falougha,70000,70000,70000,70000,1
175,2025-02-07 16:59:27.469802+00,Fanar,287913,249999,125000,1100000,58
176,2025-02-07 16:59:27.567186+00,Faqra,1261388,665000,150000,9900000,72
177,2025-02-07 16:59:27.67031+00,Faraya,400309,310000,69999,1500000,71
178,2025-02-07 16:59:27.767168+00,Fassouh,750000,750000,750000,750000,1
179,2025-02-07 16:59:27.867073+00,Fatqa,1244583,327500,95000,18000000,24
180,2025-02-07 16:59:27.972001+00,Faytroun,822333,500000,115000,2600000,21
181,2025-02-07 16:59:28.0805+00,Fidar,1582846,483000,150000,13000000,13
182,2025-02-07 16:59:28.182564+00,Fiyadiye,530000,530000,160000,900000,2
183,2025-02-07 16:59:28.306094+00,Furn El Chebbak,274642,250000,89999,800000,14
184,2025-02-07 16:59:28.401776+00,Geitawi,275000,265000,240000,330000,4
185,2025-02-07 16:59:28.500749+00,Gemayzeh,604444,450000,250000,1550000,9
186,2025-02-07 16:59:28.600623+00,Ghadir,412714,245000,95000,4600000,28
187,2025-02-07 16:59:28.705791+00,Ghalboun,625000,625000,490000,760000,2
188,2025-02-07 16:59:28.80288+00,Gharzouz,337500,352500,160000,485000,4
189,2025-02-07 16:59:28.904314+00,Ghazir,1713214,497500,75000,12500000,28
190,2025-02-07 16:59:29.001476+00,Ghbale,350000,350000,100000,600000,2
191,2025-02-07 16:59:29.099967+00,Ghedras,145000,145000,120000,170000,2
192,2025-02-07 16:59:29.201915+00,Gherfine,466312,207500,77000,1700000,16
193,2025-02-07 16:59:29.306273+00,Ghine,131666,140000,115000,140000,3
194,2025-02-07 16:59:29.413534+00,Ghineh,396665,219999,149999,819999,3
195,2025-02-07 16:59:29.514694+00,Ghosta,384999,282499,105000,850000,8
196,2025-02-07 16:59:29.615171+00,Hadad,220000,220000,220000,220000,1
197,2025-02-07 16:59:29.734733+00,Hadath,429912,290000,110000,2700000,23
198,2025-02-07 16:59:29.834926+00,Halat,766384,260000,50000,16000000,78
199,2025-02-07 16:59:29.941541+00,Hamat,1791666,450000,225000,4700000,3
200,2025-02-07 16:59:30.046898+00,Hamra,926969,650000,125000,4100000,33
201,2025-02-07 16:59:30.153363+00,Haqel,331875,80000,60000,2080000,8
202,2025-02-07 16:59:30.258489+00,Haret El Bellan,179999,179999,179999,179999,1
203,2025-02-07 16:59:30.376171+00,Haret El Sett,348000,348000,246000,450000,2
204,2025-02-07 16:59:30.479572+00,Haret Hreik,165000,165000,165000,165000,1
205,2025-02-07 16:59:30.577354+00,Haret Sakher,317249,255000,80000,1800000,40
206,2025-02-07 16:59:30.680606+00,Hasbaiyya Baabda,395000,395000,395000,395000,2
207,2025-02-07 16:59:30.790618+00,Hasbaya,69500,69500,69500,69500,1
