City,District,Province,Type,Size mÂ²,Bedrooms,Bathrooms,Price $
Achrafieh,Beirut,Beirut,Apartment,315,3,4,1100000
Beit El Kikko,El Metn,Mount Lebanon,Apartment,255,3,4,350000
Kfarzebian,Kesrouane,Mount Lebanon,Apartment,110,2,2,250000
Blat,Jbeil,Mount Lebanon,Apartment,125,2,4,135000
Ain Al Remmane,Baabda,Mount Lebanon,Apartment,180,2,2,295000
Dbayeh,El Metn,Mount Lebanon,Apartment,200,3,3,230000
Qornet El Hamra,El Metn,Mount Lebanon,Apartment,135,3,3,169000
Qornet El Hamra,El Metn,Mount Lebanon,Apartment,100,2,2,108000
kfarhbeib,Kesrouane,Mount Lebanon,Apartment,400,5,3,340000
Achrafieh,Beirut,Beirut,Apartment,80,1,2,320000
Batroun,Batroun,North,Apartment,185,3,2,140000
Achrafieh,Beirut,Beirut,Apartment,200,3,2,300000
Jbeil,Jbeil,Mount Lebanon,Apartment,176,3,3,175000
Jbeil,Jbeil,Mount Lebanon,Apartment,145,2,3,195000
Jbeil,Jbeil,Mount Lebanon,Apartment,200,3,2,270000
Furn El Chebbak,Baabda,Mount Lebanon,Apartment,184,3,3,260000
Beit El Kikko,El Metn,Mount Lebanon,Apartment,165,3,3,260000
kfarhbeib,Kesrouane,Mount Lebanon,Apartment,360,4,5,500000
Jbeil,Jbeil,Mount Lebanon,Apartment,180,3,4,220000
Jbeil,Jbeil,Mount Lebanon,Apartment,180,3,4,245000
Jbeil,Jbeil,Mount Lebanon,Apartment,200,3,4,245000
kfarhbeib,Kesrouane,Mount Lebanon,Apartment,205,4,3,275000
Hboub,Jbeil,Mount Lebanon,Apartment,115,3,3,90000
Adma,Kesrouane,Mount Lebanon,Apartment,155,2,2,400000
Dbayeh,El Metn,Mount Lebanon,Apartment,120,2,2,200000
Mazraat Yachouh,El Metn,Mount Lebanon,Apartment,170,3,2,140000
Dbayeh,El Metn,Mount Lebanon,Apartment,140,2,2,187000
Ballouneh,Kesrouane,Mount Lebanon,Apartment,180,3,4,185000
Mansourieh,El Metn,Mount Lebanon,Apartment,240,3,4,270000
Achrafieh,Beirut,Beirut,Apartment,280,3,4,1050000
Halat,Jbeil,Mount Lebanon,Apartment,140,3,3,140000
Adonis,Kesrouane,Mount Lebanon,Apartment,200,3,2,170000
Bsalim,El Metn,Mount Lebanon,Apartment,115,2,2,160000
Fidar,Jbeil,Mount Lebanon,Apartment,200,3,3,345000
Ain Al Remmane,Baabda,Mount Lebanon,Apartment,300,3,3,325000
Baabdat,El Metn,Mount Lebanon,Apartment,200,3,3,450000
Aannaya,Jbeil,Mount Lebanon,Apartment,200,3,3,100000
Bouar,Kesrouane,Mount Lebanon,Apartment,130,2,2,150000
Edde,Jbeil,Mount Lebanon,Apartment,125,2,2,125000
Achrafieh,Beirut,Beirut,Apartment,200,2,2,400000
Monteverde,El Metn,Mount Lebanon,Apartment,200,3,3,350000
Sahel Alma,Kesrouane,Mount Lebanon,Apartment,250,4,3,400000
Rabweh,El Metn,Mount Lebanon,Apartment,190,3,3,370000
Rabweh,El Metn,Mount Lebanon,Apartment,200,3,3,310000
Aamchit,Jbeil,Mount Lebanon,Apartment,111,2,2,110000
Naccache,El Metn,Mount Lebanon,Apartment,145,3,3,230000
Ras Beirut,Beirut,Beirut,Apartment,400,3,3,1250000
Baabda,Baabda,Mount Lebanon,Apartment,255,3,4,295000
Badaro,Beirut,Beirut,Apartment,200,3,2,600000
Jbeil,Jbeil,Mount Lebanon,Apartment,166,2,2,120000
Jbeil,Jbeil,Mount Lebanon,Apartment,240,4,4,150000
Hboub,Jbeil,Mount Lebanon,Apartment,125,2,2,115000
Ain Saadeh,El Metn,Mount Lebanon,Apartment,200,3,4,360000
Ain Saadeh,El Metn,Mount Lebanon,Apartment,170,3,4,310000
Ain Saadeh,El Metn,Mount Lebanon,Apartment,161,3,3,280000
Rabweh,El Metn,Mount Lebanon,Apartment,525,4,5,1000000
Aatchane,El Metn,Mount Lebanon,Apartment,142,3,3,199000
Halat,Jbeil,Mount Lebanon,Apartment,120,2,2,115000
Jbeil,Jbeil,Mount Lebanon,Apartment,260,3,3,250000
Haret Sakher,Kesrouane,Mount Lebanon,Apartment,150,3,3,135000
Edde,Jbeil,Mount Lebanon,Apartment,160,3,4,215000
Hazmieh,Baabda,Mount Lebanon,Apartment,240,3,4,400000
Aamchit,Jbeil,Mount Lebanon,Apartment,200,3,3,200000
Baabdat,El Metn,Mount Lebanon,Apartment,160,3,3,230000
Baabdat,El Metn,Mount Lebanon,Apartment,250,3,3,350000
Aamchit,Jbeil,Mount Lebanon,Apartment,232,3,3,300000
Achkout,Kesrouane,Mount Lebanon,Apartment,100,2,2,120000
Hboub,Jbeil,Mount Lebanon,Apartment,124,3,2,120000
Hboub,Jbeil,Mount Lebanon,Apartment,175,3,3,150000
Aamchit,Jbeil,Mount Lebanon,Apartment,135,2,2,135000
Jbeil,Jbeil,Mount Lebanon,Apartment,170,3,3,190000
Hazmieh,Baabda,Mount Lebanon,Apartment,470,3,5,1250000
Achrafieh,Beirut,Beirut,Apartment,80,2,2,165000
Douar,El Metn,Mount Lebanon,Apartment,125,2,2,125000
Antelias,El Metn,Mount Lebanon,Apartment,155,3,3,225000
Antelias,El Metn,Mount Lebanon,Apartment,135,2,2,165000
Bsalim,El Metn,Mount Lebanon,Apartment,165,3,3,200000
Furn El Chebbak,Baabda,Mount Lebanon,Apartment,135,2,2,245000
chnaniir,Kesrouane,Mount Lebanon,Apartment,1100,4,6,4000000
Jal el Dib,El Metn,Mount Lebanon,Apartment,140,3,3,185000
Bhorsaf,El Metn,Mount Lebanon,Apartment,220,3,4,300000
Bhorsaf,El Metn,Mount Lebanon,Apartment,220,3,4,290000
Bhorsaf,El Metn,Mount Lebanon,Apartment,200,3,4,310000
Achkout,Kesrouane,Mount Lebanon,Apartment,440,5,7,460000
Antelias,El Metn,Mount Lebanon,Apartment,235,3,3,250000
Jbeil,Jbeil,Mount Lebanon,Apartment,137,2,2,107000
Jbeil,Jbeil,Mount Lebanon,Apartment,100,2,2,115000
Qornet El Hamra,El Metn,Mount Lebanon,Apartment,252,3,4,425000
Adma,Kesrouane,Mount Lebanon,Apartment,150,2,3,250000
Barbara,Jbeil,Mount Lebanon,Apartment,90,2,2,68000
Adma,Kesrouane,Mount Lebanon,Apartment,170,3,4,315000
Jdeideh,El Metn,Mount Lebanon,Apartment,155,3,2,210000
Shayle,Kesrouane,Mount Lebanon,Apartment,150,3,3,185000
Jbeil,Jbeil,Mount Lebanon,Apartment,110,2,2,67000
Sahel Alma,Kesrouane,Mount Lebanon,Apartment,170,2,2,130000
Achrafieh,Beirut,Beirut,Apartment,210,3,3,730000
Yarzeh,Baabda,Mount Lebanon,Apartment,380,3,4,820000
Achrafieh,Beirut,Beirut,Apartment,170,3,3,510000
Mazraat Yachouh,El Metn,Mount Lebanon,Apartment,120,2,2,130000
Bsalim,El Metn,Mount Lebanon,Apartment,170,3,3,170000
Bsalim,El Metn,Mount Lebanon,Apartment,170,3,3,170000
Nabey,El Metn,Mount Lebanon,Apartment,160,3,3,210000
Nabey,El Metn,Mount Lebanon,Apartment,165,3,3,220000
Nabey,El Metn,Mount Lebanon,Apartment,160,3,3,210000
Nabey,El Metn,Mount Lebanon,Apartment,320,4,5,325000
Dbayeh,El Metn,Mount Lebanon,Apartment,230,3,3,350000
Kornet Chehwan,El Metn,Mount Lebanon,Apartment,220,4,4,350000
Kornet Chehwan,El Metn,Mount Lebanon,Apartment,220,4,4,350000
Kornet Chehwan,El Metn,Mount Lebanon,Apartment,200,3,4,300000
Yarzeh,Baabda,Mount Lebanon,Apartment,400,4,5,1150000
Ballouneh,Kesrouane,Mount Lebanon,Apartment,160,3,3,235000
Ballouneh,Kesrouane,Mount Lebanon,Apartment,145,3,3,190000
Ballouneh,Kesrouane,Mount Lebanon,Apartment,145,3,3,295000
Ballouneh,Kesrouane,Mount Lebanon,Apartment,145,3,3,190000
Jbeil,Jbeil,Mount Lebanon,Apartment,120,2,2,135000
Qannabet Broumana,El Metn,Mount Lebanon,Apartment,220,4,3,280000
kfarhbeib,Kesrouane,Mount Lebanon,Apartment,300,3,5,650000
Fatqa,Kesrouane,Mount Lebanon,Apartment,275,2,3,325000
Achrafieh,Beirut,Beirut,Apartment,120,2,2,200000
Ain Saadeh,El Metn,Mount Lebanon,Apartment,250,4,4,300000
Kornet Chehwan,El Metn,Mount Lebanon,Apartment,220,3,3,390000
Bsalim,El Metn,Mount Lebanon,Apartment,250,4,4,350000
Jdeideh,El Metn,Mount Lebanon,Apartment,220,3,3,280000
Bsalim,El Metn,Mount Lebanon,Apartment,180,3,3,200000
Bsalim,El Metn,Mount Lebanon,Apartment,165,3,4,240000
Maaysra,Kesrouane,Mount Lebanon,Apartment,165,3,4,149000
Maaysra,Kesrouane,Mount Lebanon,Apartment,165,3,4,158000
Maaysra,Kesrouane,Mount Lebanon,Apartment,165,3,4,166000
Beit el Chaar,El Metn,Mount Lebanon,Apartment,200,3,4,325000
Beit el Chaar,El Metn,Mount Lebanon,Apartment,200,3,4,300000
Kfar Aabida,Batroun,North,Apartment,320,2,3,480000
Jal el Dib,El Metn,Mount Lebanon,Apartment,170,2,2,200000
Biyada,El Metn,Mount Lebanon,Apartment,400,3,3,800000
Kornet Chehwan,El Metn,Mount Lebanon,Apartment,360,3,4,550000
Achrafieh,Beirut,Beirut,Apartment,220,3,3,490000
Achrafieh,Beirut,Beirut,Apartment,170,3,2,300000
Bouchrieh,El Metn,Mount Lebanon,Apartment,125,3,2,125000
Bouchrieh,El Metn,Mount Lebanon,Apartment,110,2,2,120000
Ghadir,Kesrouane,Mount Lebanon,Apartment,210,3,3,215000
Achrafieh,Beirut,Beirut,Apartment,75,1,1,240000
Achrafieh,Beirut,Beirut,Apartment,102,2,2,320000
Achrafieh,Beirut,Beirut,Apartment,105,2,2,325000
Zouk Mosbeh,Kesrouane,Mount Lebanon,Apartment,180,3,2,120000
Sarba,Kesrouane,Mount Lebanon,Apartment,370,3,3,400000
Ghadir,Kesrouane,Mount Lebanon,Apartment,230,4,4,200000
Edde,Jbeil,Mount Lebanon,Apartment,140,3,2,129000
Batroun,Batroun,North,Apartment,90,2,2,140000
kfarhbeib,Kesrouane,Mount Lebanon,Apartment,171,3,3,300000
kfarhbeib,Kesrouane,Mount Lebanon,Apartment,180,3,3,300000
Safra,Kesrouane,Mount Lebanon,Apartment,105,2,2,90000
Baabda,Baabda,Mount Lebanon,Apartment,350,3,5,780000
Ghadir,Kesrouane,Mount Lebanon,Apartment,360,4,4,300000
Bsalim,El Metn,Mount Lebanon,Apartment,550,4,6,475000
Tilal Ain Saade,El Metn,Mount Lebanon,Apartment,137,2,2,171250
Baabdat,El Metn,Mount Lebanon,Apartment,138,2,2,240000
Baabdat,El Metn,Mount Lebanon,Apartment,176,3,3,325000
Achrafieh,Beirut,Beirut,Apartment,123,2,2,550000
Maameltein,Kesrouane,Mount Lebanon,Apartment,50,1,0,82000
Jal el Dib,El Metn,Mount Lebanon,Apartment,115,2,2,140000
kfarhbeib,Kesrouane,Mount Lebanon,Apartment,200,3,3,400000
Aamchit,Jbeil,Mount Lebanon,Apartment,160,3,2,110000
Tilal Ain Saade,El Metn,Mount Lebanon,Apartment,420,5,5,410000
Achrafieh,Beirut,Beirut,Apartment,190,3,3,350000
Tilal Ain Saade,El Metn,Mount Lebanon,Apartment,194,3,4,302500
Tilal Ain Saade,El Metn,Mount Lebanon,Apartment,194,3,4,242500
Tilal Ain Saade,El Metn,Mount Lebanon,Apartment,330,3,5,412500
Tilal Ain Saade,El Metn,Mount Lebanon,Apartment,140,3,3,175000
Adma,Kesrouane,Mount Lebanon,Apartment,187,3,4,210000
kfarhbeib,Kesrouane,Mount Lebanon,Apartment,300,3,4,425000
Gherfine,Jbeil,Mount Lebanon,Apartment,125,2,2,125000
Jbeil,Jbeil,Mount Lebanon,Apartment,100,2,2,130000
kfarhbeib,Kesrouane,Mount Lebanon,Apartment,300,3,4,350000
Adma,Kesrouane,Mount Lebanon,Apartment,220,3,4,370000
Adma,Kesrouane,Mount Lebanon,Apartment,211,3,4,390000
Adma,Kesrouane,Mount Lebanon,Apartment,205,3,4,390000
Adma,Kesrouane,Mount Lebanon,Apartment,208,3,4,375000
Monteverde,El Metn,Mount Lebanon,Apartment,230,3,4,375000
Aamchit,Jbeil,Mount Lebanon,Apartment,101,2,1,58000
Achrafieh,Beirut,Beirut,Apartment,190,3,2,425000
Achrafieh,Beirut,Beirut,Apartment,100,2,3,320000
Batroun,Batroun,North,Apartment,140,3,3,168000
Batroun,Batroun,North,Apartment,109,2,2,130000
Dik El Mehdi,El Metn,Mount Lebanon,Apartment,330,5,6,300000
Ain Saadeh,El Metn,Mount Lebanon,Apartment,230,3,5,415000
Achrafieh,Beirut,Beirut,Apartment,300,3,4,1200000
Jdayel,Jbeil,Mount Lebanon,Apartment,165,3,3,155000
Naccache,El Metn,Mount Lebanon,Apartment,209,3,3,285000
Tilal Ain Saade,El Metn,Mount Lebanon,Apartment,170,3,3,162000
Achrafieh,Beirut,Beirut,Apartment,320,4,3,1025000
Achrafieh,Beirut,Beirut,Apartment,230,3,3,690000
Mansourieh,El Metn,Mount Lebanon,Apartment,155,3,3,155000
Qannabet Broumana,El Metn,Mount Lebanon,Apartment,300,3,5,675000
Ras Beirut,Beirut,Beirut,Apartment,274,4,3,849000
Badaro,Beirut,Beirut,Apartment,211,3,2,400000
Down Town,Beirut,Beirut,Apartment,195,2,4,975000
Achrafieh,Beirut,Beirut,Apartment,240,3,3,450000
Zikrit,El Metn,Mount Lebanon,Apartment,180,2,3,150000
Kfaryassine,Kesrouane,Mount Lebanon,Apartment,200,3,3,360000
Mar Takla,Baabda,Mount Lebanon,Apartment,320,3,4,725000
Blat,Jbeil,Mount Lebanon,Apartment,160,3,2,90000
Dekweneh,El Metn,Mount Lebanon,Apartment,190,3,2,135000
Yarzeh,Baabda,Mount Lebanon,Apartment,295,3,5,990000
Yarzeh,Baabda,Mount Lebanon,Apartment,255,3,5,835000
Yarzeh,Baabda,Mount Lebanon,Apartment,255,3,5,700000
Biyada,El Metn,Mount Lebanon,Apartment,300,3,4,580000
Broumana,El Metn,Mount Lebanon,Apartment,180,1,2,500000
Dahr El Sawan,El Metn,Mount Lebanon,Apartment,240,3,4,230000
Dbayeh,El Metn,Mount Lebanon,Apartment,300,3,4,800000
Aamchit,Jbeil,Mount Lebanon,Apartment,85,2,2,55000
Baabda,Baabda,Mount Lebanon,Apartment,270,3,5,650000
Zouk Mosbeh,Kesrouane,Mount Lebanon,Apartment,105,2,2,135000
Halat,Jbeil,Mount Lebanon,Apartment,240,3,3,175000
Jeita,Kesrouane,Mount Lebanon,Apartment,165,3,3,300000
Badaro,Beirut,Beirut,Apartment,185,3,3,500000
Al Jamhour,Baabda,Mount Lebanon,Apartment,320,3,3,535000
Sarba,Kesrouane,Mount Lebanon,Apartment,100,2,2,88000
Achrafieh,Beirut,Beirut,Apartment,379,4,6,1500000
Aatchane,El Metn,Mount Lebanon,Apartment,140,3,3,182000
Mazraat Yachouh,El Metn,Mount Lebanon,Apartment,265,4,4,420000
Antelias,El Metn,Mount Lebanon,Apartment,155,3,2,250000
Hboub,Jbeil,Mount Lebanon,Apartment,300,3,3,275000
Naccache,El Metn,Mount Lebanon,Apartment,240,3,3,250000
Biakout,El Metn,Mount Lebanon,Apartment,135,2,2,115000
Beit Chabeb,El Metn,Mount Lebanon,Apartment,1000,6,4,2200000
Achrafieh,Beirut,Beirut,Apartment,150,3,3,350000
Achrafieh,Beirut,Beirut,Apartment,350,4,4,700000
Edde,Jbeil,Mount Lebanon,Apartment,151,3,3,160000
kfarhbeib,Kesrouane,Mount Lebanon,Apartment,185,3,3,235000
Safra,Kesrouane,Mount Lebanon,Apartment,165,3,3,140000
Hazmieh,Baabda,Mount Lebanon,Apartment,150,3,2,250000
Adonis,Kesrouane,Mount Lebanon,Apartment,200,3,3,140000
Zouk Mosbeh,Kesrouane,Mount Lebanon,Apartment,177,3,3,130000
Dbayeh,El Metn,Mount Lebanon,Apartment,210,3,5,430000
Baabdat,El Metn,Mount Lebanon,Apartment,202,3,3,330000
Ain Al Remmane,Baabda,Mount Lebanon,Apartment,230,3,4,475000
Baabda,Baabda,Mount Lebanon,Apartment,200,3,4,299000
Baabdat,El Metn,Mount Lebanon,Apartment,120,2,2,250000
Monteverde,El Metn,Mount Lebanon,Apartment,240,4,4,500000
Broumana,El Metn,Mount Lebanon,Apartment,125,2,4,280000
Ain Saadeh,El Metn,Mount Lebanon,Apartment,172,3,3,315000
Edde,Jbeil,Mount Lebanon,Apartment,274,4,5,272000
Beit Chabeb,El Metn,Mount Lebanon,Apartment,230,3,2,150000
Achrafieh,Beirut,Beirut,Apartment,109,2,2,250000
Batroun,Batroun,North,Apartment,163,3,2,125000
Jbeil,Jbeil,Mount Lebanon,Apartment,150,3,2,155000
Achrafieh,Beirut,Beirut,Apartment,340,3,4,1050000
Achrafieh,Beirut,Beirut,Apartment,230,2,3,1200000
Mansourieh,El Metn,Mount Lebanon,Apartment,200,3,3,229000
Broumana,El Metn,Mount Lebanon,Apartment,140,3,3,230000
Achrafieh,Beirut,Beirut,Apartment,560,3,4,3000000
Halat,Jbeil,Mount Lebanon,Apartment,300,4,4,230000
Achrafieh,Beirut,Beirut,Apartment,175,2,3,650000
Sahel Alma,Kesrouane,Mount Lebanon,Apartment,185,3,3,260000
Nahr Ibrahim,Jbeil,Mount Lebanon,Apartment,100,2,1,98000
Jounieh,Kesrouane,Mount Lebanon,Apartment,228,3,2,275000
Achrafieh,Beirut,Beirut,Apartment,235,3,3,450000
Hosrayel,Jbeil,Mount Lebanon,Apartment,125,3,2,125000
Hosrayel,Jbeil,Mount Lebanon,Apartment,115,2,2,115000
Achrafieh,Beirut,Beirut,Apartment,170,3,3,450000
Hazmieh,Baabda,Mount Lebanon,Apartment,325,4,5,735000
Hboub,Jbeil,Mount Lebanon,Apartment,150,3,3,155000
Monteverde,El Metn,Mount Lebanon,Apartment,250,4,6,620000
Jbeil,Jbeil,Mount Lebanon,Apartment,110,2,2,120000
Edde,Jbeil,Mount Lebanon,Apartment,240,3,3,175000
Edde,Jbeil,Mount Lebanon,Apartment,122,2,2,125000
Edde,Jbeil,Mount Lebanon,Apartment,150,3,3,185000
Hboub,Jbeil,Mount Lebanon,Apartment,155,3,3,185000
Baabda,Baabda,Mount Lebanon,Apartment,250,2,3,500000
Broumana,El Metn,Mount Lebanon,Apartment,150,3,2,170000
Achrafieh,Beirut,Beirut,Apartment,220,3,3,650000
Jdayel,Jbeil,Mount Lebanon,Apartment,125,2,2,135000
Hboub,Jbeil,Mount Lebanon,Apartment,150,3,3,135000
Monteverde,El Metn,Mount Lebanon,Apartment,180,3,3,300000
Hboub,Jbeil,Mount Lebanon,Apartment,160,3,3,110000
Blat,Jbeil,Mount Lebanon,Apartment,150,3,3,155000
Broumana,El Metn,Mount Lebanon,Apartment,275,3,4,500000
Broumana,El Metn,Mount Lebanon,Apartment,355,3,4,900000
Mar Takla,Baabda,Mount Lebanon,Apartment,180,3,3,280000
Jbeil,Jbeil,Mount Lebanon,Apartment,100,2,2,76000
Blat,Jbeil,Mount Lebanon,Apartment,125,2,2,135000
Rayfoun,Kesrouane,Mount Lebanon,Apartment,165,2,2,290000
Hboub,Jbeil,Mount Lebanon,Apartment,192,4,5,160000
Fanar,El Metn,Mount Lebanon,Apartment,155,3,3,135000
Edde,Jbeil,Mount Lebanon,Apartment,170,3,2,155000
Jbeil,Jbeil,Mount Lebanon,Apartment,110,2,2,137500
Bsalim,El Metn,Mount Lebanon,Apartment,135,3,0,165000
Hboub,Jbeil,Mount Lebanon,Apartment,145,3,2,115000
Fatqa,Kesrouane,Mount Lebanon,Apartment,265,3,4,145000
Mtayleb,El Metn,Mount Lebanon,Apartment,340,4,4,700000
Mtayleb,El Metn,Mount Lebanon,Apartment,300,3,3,380000
Batroun,Batroun,North,Apartment,135,2,2,150000
Ghazir,Kesrouane,Mount Lebanon,Apartment,168,3,3,190000
Antelias,El Metn,Mount Lebanon,Apartment,170,3,3,440000
Blat,Jbeil,Mount Lebanon,Apartment,100,2,2,144000
Basbina,Batroun,North,Apartment,150,3,2,150000
Zouk Mosbeh,Kesrouane,Mount Lebanon,Apartment,170,2,2,90000
Batroun,Batroun,North,Apartment,115,2,2,125000
Horsh Tabet,El Metn,Mount Lebanon,Apartment,325,3,3,460000
Achrafieh,Beirut,Beirut,Apartment,180,3,2,350000
Biyada,El Metn,Mount Lebanon,Apartment,560,3,4,1200000
Jbeil,Jbeil,Mount Lebanon,Apartment,150,2,3,180000
Batroun,Batroun,North,Apartment,153,3,3,150000
New Mar Takla,Baabda,Mount Lebanon,Apartment,240,3,4,550000
Achrafieh,Beirut,Beirut,Apartment,180,2,3,700000
Ras Beirut,Beirut,Beirut,Apartment,159,3,4,300000
Shayle,Kesrouane,Mount Lebanon,Apartment,110,2,2,96000
Ain Aar,El Metn,Mount Lebanon,Apartment,280,3,4,310000
kfarhbeib,Kesrouane,Mount Lebanon,Apartment,200,3,3,450000
Hboub,Jbeil,Mount Lebanon,Apartment,140,3,3,150000
Achrafieh,Beirut,Beirut,Apartment,660,4,4,1500000
Mansourieh,El Metn,Mount Lebanon,Apartment,170,3,2,150000
Biyada,El Metn,Mount Lebanon,Apartment,360,4,6,775000
Biyada,El Metn,Mount Lebanon,Apartment,325,3,4,775000
Dbayeh,El Metn,Mount Lebanon,Apartment,180,3,3,730000
Down Town,Beirut,Beirut,Apartment,282,2,3,2200000
Gherfine,Jbeil,Mount Lebanon,Apartment,105,2,2,77000
Beit el Chaar,El Metn,Mount Lebanon,Apartment,220,3,3,245000
Down Town,Beirut,Beirut,Apartment,573,4,6,4500000
Achrafieh,Beirut,Beirut,Apartment,617,5,5,4500000
Achrafieh,Beirut,Beirut,Apartment,160,3,3,400000
Achrafieh,Beirut,Beirut,Apartment,145,2,2,363000
Badaro,Beirut,Beirut,Apartment,253,4,3,325000
Badaro,Beirut,Beirut,Apartment,185,3,2,350000
Jbeil,Jbeil,Mount Lebanon,Apartment,160,3,3,195000
Nahr Ibrahim,Jbeil,Mount Lebanon,Apartment,120,2,2,110000
Achrafieh,Beirut,Beirut,Apartment,225,3,3,650000
Achrafieh,Beirut,Beirut,Apartment,482,4,3,650000
Badaro,Beirut,Beirut,Apartment,170,3,3,375000
Blat,Jbeil,Mount Lebanon,Apartment,150,3,3,185000
Naccache,El Metn,Mount Lebanon,Apartment,200,3,3,300000
Jbeil,Jbeil,Mount Lebanon,Apartment,270,3,3,210000
Zikrit,El Metn,Mount Lebanon,Apartment,315,3,4,425000
Zikrit,El Metn,Mount Lebanon,Apartment,200,3,3,275000
Zikrit,El Metn,Mount Lebanon,Apartment,326,3,3,400000
Zikrit,El Metn,Mount Lebanon,Apartment,226,3,3,275000
Jnah,Beirut,Beirut,Apartment,525,4,5,1200000
Achrafieh,Beirut,Beirut,Apartment,160,3,3,370000
Jal el Dib,El Metn,Mount Lebanon,Apartment,200,3,2,330000
Achrafieh,Beirut,Beirut,Apartment,200,3,3,350000
Achrafieh,Beirut,Beirut,Apartment,195,3,2,400000
Achrafieh,Beirut,Beirut,Apartment,110,2,2,300000
Achrafieh,Beirut,Beirut,Apartment,128,2,2,270000
Batroun,Batroun,North,Apartment,200,3,4,300000
Achrafieh,Beirut,Beirut,Apartment,155,3,3,600000
Halat,Jbeil,Mount Lebanon,Apartment,160,3,3,160000
Aamchit,Jbeil,Mount Lebanon,Apartment,100,2,2,100000
Jounieh,Kesrouane,Mount Lebanon,Apartment,235,3,3,210000
Biyada,El Metn,Mount Lebanon,Apartment,500,4,5,1000000
Rabieh,El Metn,Mount Lebanon,Apartment,320,3,4,460000
Ras Beirut,Beirut,Beirut,Apartment,425,4,3,895000
Betchay,Baabda,Mount Lebanon,Apartment,235,3,5,380000
Achrafieh,Beirut,Beirut,Apartment,90,1,2,300000
Dik El Mehdi,El Metn,Mount Lebanon,Apartment,235,3,4,300000
Naccache,El Metn,Mount Lebanon,Apartment,155,3,3,180000
Ain Al Remmane,Baabda,Mount Lebanon,Apartment,180,4,2,160000
Jbeil,Jbeil,Mount Lebanon,Apartment,155,2,2,160000
Achrafieh,Beirut,Beirut,Apartment,300,0,0,900000
Achrafieh,Beirut,Beirut,Apartment,190,2,3,520000
Naccache,El Metn,Mount Lebanon,Apartment,212,3,3,310000
Naccache,El Metn,Mount Lebanon,Apartment,300,4,3,550000
Broumana,El Metn,Mount Lebanon,Apartment,450,4,6,1200000
Ras Beirut,Beirut,Beirut,Apartment,380,4,3,1100000
Achrafieh,Beirut,Beirut,Apartment,250,3,4,700000
Achrafieh,Beirut,Beirut,Apartment,500,4,4,2200000
Jbeil,Jbeil,Mount Lebanon,Apartment,168,3,3,175000
Mansourieh,El Metn,Mount Lebanon,Apartment,145,3,2,145000
Jbeil,Jbeil,Mount Lebanon,Apartment,208,3,3,208000
Jbeil,Jbeil,Mount Lebanon,Apartment,208,3,3,280000
Batroun,Batroun,North,Apartment,98,3,1,250000
Batroun,Batroun,North,Apartment,157,3,2,120000
Naccache,El Metn,Mount Lebanon,Apartment,220,3,3,250000
Batroun,Batroun,North,Apartment,225,3,2,154000
Mtayleb,El Metn,Mount Lebanon,Apartment,280,3,3,350000
Louaize,Baabda,Mount Lebanon,Apartment,190,2,3,250000
Louaize,Baabda,Mount Lebanon,Apartment,170,3,3,225000
